año	CAD	num	total	deuda	créditos	nombre
2012	313	51	1653315.9	3550876.5699999994	1897560.67	PESCA
2012	321	139	10329428.4	11052508.840000002	723080.44	INDUSTRIA
2012	322	6	16654.73	16654.73	0	INDUSTRIAS EXTRACTIVAS
2012	323	2	127028.65	127028.65	0	CONSTRUCCIÓN
2012	331	19	4033039.9699999997	4283248.25	250208.28	COMERCIO
2012	332	37	1077663.33	1077663.33	0	TURISMO
2012	410	189	12478239.57	12478239.57	0	PROTECCIÓN GENERAL DEL MEDIO AMBIENTE
2012	430	844	65407062.700000025	65542755.01000003	135692.31	OTROS MULTISECTORIAL
2012	510	3	4334333.34	4334333.34	0	APOYO PRESUPUESTARIO GENERAL
2012	520	42	12129606.62	12129606.62	0	AYUDA ALIM. PARA EL DES. / SEGURIDAD ALIMENTARIA
2012	530	10	-236972	568175	805147	OTRAS AYUDAS PARA LA ADQUISICIÓN DE BIENES
2012	600	10	58963823.12	58963823.12	0	ACTIVIDADES RELACIONADAS CON LA DEUDA 
2012	720	240	55944602.44000001	55944602.44000001	0	AYUDAS DE EMERGENCIA
2012	730	34	10241053.540000001	10241053.540000001	0	AYUDA A LA RECONSTRUCCIÓN Y REHABILITACIÓN
2012	740	42	5845540.300000001	5845540.300000001	0	PREVENCIÓN DE DESASTRES
2012	910	278	132671080.92999996	132671080.92999996	0	COSTES ADMINISTRATIVOS DONANTES.
2012	930	43	17676669.999999993	17676669.999999993	0	AYUDA A REFUGIADOS EN EL PAÍS DONANTE
2012	998	1482	795858111.7600007	803870076.5800008	8011964.820000002	SIN ESPECIFICACIÓN / NO CLASIFICADOS.
