año	país	deuda
2011	MX	12433127
2011	MY	329271
2011	MZ	46723983
2011	NA	53232112
2011	NE	35398640
2011	NG	22475874
2011	NP	7581655
2011	NR	71812
2011	NU	75009
2011	PA	4291376
2011	PE	48703193
2011	PG	3706964
2011	PH	24471921
2011	PK	25697567
2011	PS	53598433
2011	PW	45394
2011	PY	15056794
2011	RS	21126796
2011	RW	11521652
2011	SB	1708988
2011	SC	1505906
2011	SD	48503675
2011	SL	7567752
2011	SN	34865875
2011	SO	22791682
2011	SR	1162636
2011	ST	1655897
2011	SV	37451360
2011	SY	7277143
2011	SZ	1572165
2011	TD	16545888
2011	TG	24111308
2011	TH	2621913
2011	TJ	4097936
2011	TK	3027
2011	TL	5654314
2011	TM	462451
2011	TN	70126696
2011	TO	227691
2011	TR	24870327
2011	TV	15573
2011	TZ	36272889.88
2011	UA	10534380
2011	UG	18124003
2011	UY	7597373
2011	UZ	2571917
2011	VC	717066
2011	VE	3212333
2011	VN	27992564
2011	VU	164949
2011	WF	29947879
2011	WS	1175310
2011	XK	19591135
2011	YE	9623543
2011	ZA	10560751
2011	ZM	8811159
2011	ZW	12478112
2012	AF	24269536.39
2012	AL	39546.68
2012	AM	4804.99
2012	AO	4597664.0200000005
2012	AR	1789395.2499999998
2012	BA	58317.04
2012	BD	483594.8
2012	BF	1120721.81
2012	BI	1556808.3599999999
2012	BJ	426552.37
2012	BO	23591078.78000001
2012	BR	8191577.69
2012	BY	83062.1
2012	BZ	0
2012	CD	16647348.08
2012	CF	49200
2012	CG	1172666.02
2012	CI	17778064.500000004
2012	CL	647530.5599999999
2012	CM	858853.09
2012	CN	2829168.2500000005
2012	CO	20255898.540000003
2012	CR	981832.3099999999
2012	CU	6015080.3500000015
2012	CV	4301058.78
2012	DJ	4976
2012	DO	11820146.000000004
2012	DZ	1562626.01
2012	EC	18930483.87
2012	EG	3101266.31
2012	EH	14917893.46
2012	ET	11463904.52
2012	GA	0
2012	GH	542213.6
2012	GM	1988509.05
2012	GN	2489196.6
2012	GQ	7212486.369999999
2012	GT	18173703.659999996
2012	GW	3225257.59
2012	GY	2600
2012	HN	10405013.750000004
2012	HT	14513616.549999999
2012	ID	257148.47
2012	IN	4419599.86
2012	IQ	99065.98
2012	IR	168170.64
2012	JM	15105.89
2012	JO	3136199.15
2012	KE	875354.1199999999
2012	KG	0
2012	KH	14592693.76
2012	KZ	0
2012	LB	12058432.56
2012	LK	318159.88
2012	LR	1212472.24
2012	LS	0
2012	LY	25000
2012	MA	15399629.409999996
2012	MD	14755.18
2012	ME	0
2012	MG	172386.64
2012	MK	464.3
2012	ML	11370326.519999998
2012	MN	3750.6
2012	MR	7048531.3100000005
2012	MW	153119.27
2012	MX	3641507.070000001
2012	MY	324.97
2012	MZ	13900443.01
2012	NA	15811322.200000003
2012	NE	5197699.890000001
2012	NG	10645.09
2012	NP	52598.14
2012	PA	1269357.54
2012	PE	27428433.24
2012	PH	8570582.049999999
2012	PK	222951.61
2012	PS	19996774.509999998
2012	PY	5809598.46
2012	RS	811224.32
2012	RW	1029323.9299999999
2012	SC	0
2012	SD	10513783.46
2012	SL	503268.36999999994
2012	SN	10230718.47
2012	SO	4429475.04
2012	SS	2460669.17
2012	ST	125200
2012	SV	14430416.900000004
2012	SY	7239538.55
2012	TD	887893.5
2012	TG	40193012.220000006
2012	TH	21731.01
2012	TJ	2365.3199999999997
2012	TL	1526053.76
2012	TN	1224122.41
2012	TR	1391081.92
2012	TZ	1230794.2099999997
2012	UA	113692.34999999999
2012	UG	357222.11
2012	UY	1177630.3399999999
2012	VC	393.65
2012	VE	1171610.02
2012	VN	3199693.02
2012	VU	38884.1
2012	XK	406851.85000000003
2012	YE	0
2012	ZA	37075.75
2012	ZM	33155
2012	ZW	85400.01000000001
